Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Pháp lý,Latitude,Longitude,Hướng ban công,Số phòng ngủ,Số toilet,Số tầng,Nội thất
120 m²,"4,3 tỷ",5 m,"7,5 m",Nam,Sổ đỏ/ Sổ hồng,16.0136631813799,108.253523422225,,,,,
"269,1 m²",43 tỷ,,,Nam,Sổ đỏ/ Sổ hồng,16.05558967590332,108.22355651855469,Đông - Nam,5 phòng,5 phòng,,Đầy đủ
45 m²,"3,05 tỷ",,,Đông - Nam,Sổ đỏ/ Sổ hồng,16.0721242849345,108.207060531841,,4 phòng,3 phòng,4 tầng,Cơ bản
60 m²,"10,5 tỷ",5 m,,,Sổ đỏ/ Sổ hồng,16.0506875675517,108.245196886597,,8 phòng,8 phòng,4 tầng,Đầy đủ
5.000 m²,Thỏa thuận,180 m,33 m,Đông - Bắc,Đang chờ sổ,15.9609806,108.2892688,,,,,
77 m²,6 tỷ,,,Đông - Nam,Sổ đỏ/ Sổ hồng,16.0686168670654,108.244453430176,Đông - Nam,2 phòng,2 phòng,,Đầy đủ
73 m²,"3,49 tỷ",6 m,"5,2 m",,Sổ đỏ/ Sổ hồng,16.0720401387383,108.207303648018,,3 phòng,2 phòng,2 tầng,Đầy đủ.
70 m²,"7,19 tỷ","6,5 m",40 m,Đông,Sổ đỏ/ Sổ hồng,16.0456253,108.2393319,Đông,4 phòng,4 phòng,3 tầng,Đầy đủ
"73,2 m²","4,48 tỷ",5 m,"5,5 m",Tây - Nam,Sổ đỏ/ Sổ hồng,16.0554965310371,108.163694239369,Tây - Nam,3 phòng,2 phòng,2 tầng,
108 m²,"4,8 tỷ",6 m,"9,5 m",Đông,Sổ đỏ/ Sổ hồng.,15.983246803283691,108.25209045410156,Đông,3 phòng,3 phòng,4 tầng,
80 m²,"5,6 tỷ",5 m,"5,5 m",Đông - Nam,Sổ đỏ/ Sổ hồng,21.0289486097874,105.852447225903,Đông - Nam,3 phòng,3 phòng,3 tầng,Đầy đủ
108 m²,"5,05 tỷ",6 m,"9,5 m",Đông,Sổ đỏ/ Sổ hồng.,15.9832468032837,108.252090454102,Đông,2 phòng,2 phòng,2 tầng,
110 m²,"3,5 tỷ",5 m,"5,5 m",Đông - Nam,Sổ đỏ/ Sổ hồng,16.0079354972124,108.214009182594,,,,,
90 m²,"3,65 tỷ",5 m,"7,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0657803712506,108.169540001399,,,,,
108 m²,"4,8 tỷ",6 m,"9,5 m",Đông,Sổ đỏ/ Sổ hồng.,15.983246803283691,108.25209045410156,Đông,3 phòng,3 phòng,4 tầng,
80 m²,"5,6 tỷ",5 m,"5,5 m",Đông - Nam,Sổ đỏ/ Sổ hồng,21.0289486097874,105.852447225903,Đông - Nam,3 phòng,3 phòng,3 tầng,Đầy đủ
108 m²,"5,05 tỷ",6 m,"9,5 m",Đông,Sổ đỏ/ Sổ hồng.,15.9832468032837,108.252090454102,Đông,2 phòng,2 phòng,2 tầng,
110 m²,"3,5 tỷ",5 m,"5,5 m",Đông - Nam,Sổ đỏ/ Sổ hồng,16.0079354972124,108.214009182594,,,,,
90 m²,"3,65 tỷ",5 m,"7,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0657803712506,108.169540001399,,,,,
120 m²,25 triệu/m²,6 m,75 m,Tây - Bắc,Sổ đỏ/ Sổ hồng,16.093573,108.1263,,,,,
100 m²,"2,15 tỷ",5 m,"7,5 m",Đông - Bắc,Sổ đỏ/ Sổ hồng,21.0289486097874,105.852447225903,,,,,
54 m²,"5,95 tỷ","5,88 m","5,5 m",,Sổ đỏ/ Sổ hồng,16.0654428118716,108.215912073407,,3 phòng,2 phòng,3 tầng,
80 m²,"5,1 tỷ",5 m,"5,5 m",Đông - Nam,Sổ đỏ/ Sổ hồng,,,,3 phòng,3 phòng,3 tầng,Đầy đủ
104 m²,"6,29 tỷ",5 m,"10,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0779742268012,108.1605582726,Tây - Bắc,2 phòng,2 phòng,2 tầng,Cơ bản
"640,3 m²","49,9 tỷ",22 m,33 m,,Sổ đỏ/ Sổ hồng,16.0634863282166,108.157313203041,,,,,
177 m²,"16,5 tỷ",10 m,6 m,Đông,Sổ đỏ/ Sổ hồng,16.0557928137879,108.245201454674,,,,,
300 m²,55 triệu/m²,12 m,"7,5 m",Đông - Bắc,Sổ đỏ/ Sổ hồng,16.017343521118164,108.24102783203125,,,,,
105 m²,"1,6 tỷ",5 m,4 m,,,16.0480784901488,108.146619900089,,,,,
140 m²,"6,75 tỷ","8,5 m",6 m,,Sổ đỏ/ Sổ hồng,16.0696898583907,108.210590075939,,2 phòng,2 phòng,2 tầng,
100 m²,11 tỷ,5 m,20 m,,Sổ đỏ/ Sổ hồng,16.0804162974969,108.245136746266,,,,,
125 m²,"6,72 tỷ",,,Đông - Nam,,16.0608487,108.1716291,,,,,
75 m²,"3,39 tỷ",5 m,,Đông - Nam,Sổ đỏ/ Sổ hồng,16.0779675513506,108.161521622697,,,,,
150 m²,"12,5 tỷ","11,5 m",,,,16.0578390125711,108.238934173666,,,,,
"294,5 m²",Thỏa thuận,,"7,5 m",Đông - Bắc,Sổ đỏ/ Sổ hồng,16.0230314665838,108.232128024101,,,,,
140 m²,"6,75 tỷ","8,5 m",6 m,,Sổ đỏ/ Sổ hồng,16.0696898583907,108.210590075939,,2 phòng,2 phòng,2 tầng,
100 m²,11 tỷ,5 m,20 m,,Sổ đỏ/ Sổ hồng,16.0804162974969,108.245136746266,,,,,
125 m²,"6,72 tỷ",,,Đông - Nam,,16.0608487,108.1716291,,,,,
75 m²,"3,39 tỷ",5 m,,Đông - Nam,Sổ đỏ/ Sổ hồng,16.0779675513506,108.161521622697,,,,,
150 m²,"12,5 tỷ","11,5 m",,,,16.0578390125711,108.238934173666,,,,,
"294,5 m²",Thỏa thuận,,"7,5 m",Đông - Bắc,Sổ đỏ/ Sổ hồng,16.0230314665838,108.232128024101,,,,,
181 m²,"14,5 tỷ","6,5 m","7,5 m",,,16.0563678,108.2414295,,,,,
150 m²,45 tỷ,10 m,30 m,,Sổ đỏ/ Sổ hồng.,,,,8 phòng,8 phòng,8 tầng,Cơ bản.
246 m²,42 tỷ,12 m,15 m,Tây,,16.0493985,108.2208107,,,,,
7.320 m²,265 tỷ,140 m,21 m,,,16.1292639719952,108.2787810516,,,,,
128 m²,"12,9 tỷ",8 m,"5,5 m",Tây,Sổ đỏ/ Sổ hồng,16.0702924,108.2466488,,,,,
67 m²,"3,8 tỷ",,,,,16.0628848,108.2206714,,,,,
125 m²,"6,8 tỷ","5,2 m","7,5 m",,,16.0514638,108.1699852,,,,,
182 m²,"14,2 tỷ",10 m,5 m,,Sổ đỏ/ Sổ hồng,16.0572262503826,108.244173444598,,,,,
100 m²,"4,45 tỷ",5 m,"5,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0799662775546,108.16350452925,,,,,
"143,1 m²","9,5 tỷ","8,25 m","5,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0412922614087,108.243439946076,,,,,
220 m²,"14,5 tỷ",11 m,"7,5 m",Đông - Nam,Sổ đỏ/ Sổ hồng,16.08125114440918,108.16644287109375,,,,,
468 m²,30 triệu/m²,,,,,15.983246803283691,108.25209045410156,,,,,
128 m²,"4,35 tỷ",5 m,"7,5 m",Đông,Sổ đỏ/ Sổ hồng,15.979309,108.2127525,Đông,4 phòng,3 phòng,3 tầng,Đầy đủ
81 m²,"5,35 tỷ",,"10,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng.,16.0778901119078,108.160898774738,,,,,
182 m²,"14,2 tỷ",10 m,5 m,,Sổ đỏ/ Sổ hồng,16.0572262503826,108.244173444598,,,,,
100 m²,"4,45 tỷ",5 m,"5,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0799662775546,108.16350452925,,,,,
"143,1 m²","9,5 tỷ","8,25 m","5,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0412922614087,108.243439946076,,,,,
220 m²,"14,5 tỷ",11 m,"7,5 m",Đông - Nam,Sổ đỏ/ Sổ hồng,16.08125114440918,108.16644287109375,,,,,
468 m²,30 triệu/m²,,,,,15.983246803283691,108.25209045410156,,,,,
128 m²,"4,35 tỷ",5 m,"7,5 m",Đông,Sổ đỏ/ Sổ hồng,15.979309,108.2127525,Đông,4 phòng,3 phòng,3 tầng,Đầy đủ
81 m²,"5,35 tỷ",,"10,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng.,16.0778901119078,108.160898774738,,,,,
82 m²,"2,45 tỷ",5 m,3 m,,,16.0792795536754,108.133530488633,,5 phòng,5 phòng,3 tầng,
65 m²,"2,2 tỷ",5 m,3 m,,Sổ đỏ/ Sổ hồng,16.0642695894837,108.166800308805,,1 phòng,1 phòng,1 tầng,Đầy đủ
105 m²,"4,15 tỷ",5 m,,Đông,,16.016571,108.2549201,,,,,
"249,1 m²",45 triệu/m²,7 m,"7,5 m",Tây,Sổ đỏ/ Sổ hồng,16.0443738113856,108.238303150527,,,,,
100 m²,"2,85 tỷ",5 m,3 m,,Sổ đỏ/ Sổ hồng,16.0483424673609,108.181214691886,,3 phòng,2 phòng,2 tầng,Đầy đủ
352 m²,14 tỷ,,"5,5 m",Tây - Nam,Sổ đỏ/ Sổ hồng,16.0610952,108.1742953,,,,,
"140,6 m²","7,5 tỷ","8,3 m",15 m,Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0857232458952,108.144726316052,Tây - Bắc,4 phòng,5 phòng,3 tầng,Đầy đủ
300 m²,17 tỷ,15 m,12 m,,Sổ đỏ/ Sổ hồng,16.017343521118164,108.24102783203125,,3 phòng,3 phòng,3 tầng,Đầy đủ
80 m²,"3,5 tỷ","5,5 m","5,5 m",,,16.0556656541132,108.165737262051,,4 phòng,3 phòng,3 tầng,
116 m²,"4,2 tỷ","5,8 m","7,5 m",Tây - Bắc,,16.0113709,108.2542309,,,,,
218 m²,"6,95 tỷ",105 m,"10,5 m",Bắc,Sổ đỏ/ Sổ hồng.,15.9815898694919,108.251903112978,,,,,
176 m²,"4,5 tỷ",9 m,105 m,Nam,Sổ đỏ/ Sổ hồng.,15.9808445609787,108.268952396307,,,,,
100 m²,Thỏa thuận,5 m,,Tây,,16.0459163241755,108.23546989211,,,,,
